Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location,Longitude,Latitude
213359,2021,01/21/2022,North Haven,24 WARNER RD,243310.00,299000.00,0.8137,Residential,Single Family,,,,POINT (-72.823033004 41.371533983),-72.823033004,41.371533983
210234,2021,06/21/2022,Suffield,41 FOURTH ST,182840.00,330000.00,0.554060606,Residential,Single Family,06 - Portion of Property,PORTION OF PROPERTY - SPLIT,,POINT (-72.623203989 41.996271006),-72.623203989,41.996271006
210139,2021,05/02/2022,Portland,144 GREAT HILL POND RD,208460.00,378500.00,0.5507,Residential,Single Family,,036-0010,,POINT (-72.560673986 41.575844005),-72.560673986,41.575844005
210595,2021,05/10/2022,Torrington,50 BROOK ST,146210.00,125000.00,1.1696,Commercial,,01 - Family,PROPERTY CONTAINS SERVICE GARAGE AND SINGLE-FAM HOUSE,,POINT (-73.11780702 41.807493992),-73.11780702,41.807493992
211460,2021,05/11/2022,Waterbury,57 ROCKLEDGE DR,69500.00,174900.00,0.397369926,Residential,Single Family,25 - Other,PRIVATE SALE,,POINT (-73.015384019 41.530906987),-73.015384019,41.530906987
212364,2021,09/23/2022,Waterbury,68 SHARON RD #10,17480.00,69000.00,0.2533,Residential,Condo,,,,POINT (-72.999861991 41.570096995),-72.999861991,41.570096995
210523,2021,01/06/2022,Norwalk,187 FLAX HILL RD UNIT D1,137900.00,225000.00,0.6128,Residential,Condo,,2-49-7-D/1,,POINT (-73.425438038 41.097791),-73.425438038,41.097791
21139,2021,04/26/2022,Oxford,26 GOOD HILL ROAD,214000.00,375000.00,0.5706,Residential,Single Family,,,,POINT (-73.16738296 41.409660998),-73.16738296,41.409660998
210157,2021,07/08/2022,Old Lyme,6 OAKRIDGE DR,194000.00,257300.00,0.7539,Residential,Single Family,,,,POINT (-72.255972024 41.300219997),-72.255972024,41.300219997
2101396,2021,04/27/2022,Stamford,201 CASCADE ROAD,855180.00,1550000.00,0.5517,Residential,Single Family,,,,POINT (-73.537753026 41.142682001),-73.537753026,41.142682001
